id,drupal_id,drupal_uuid,title,content,author,date,project_id,status,migration_status
8c98fd7d-cb83-4d29-b34d-23de7cc5cef1,7049,8c98fd7d-cb83-4d29-b34d-23de7cc5cef1,"Tanzania's 2030 Energy Compact Outlines Geothermal Goals","<p>According to Tanzania's recently published energy compact, which outlines the government's goals for electricity access up to 2030, 130 MW of geothermal capacity is planned to be developed by 2030.","Tanzanian government",2025-01-28T00:00:00,711a02c7-aafc-4a1c-9eb4-7df659715b1c,published,success
94e75fd8-379b-42a9-8946-6f7bd082e7b1,7047,94e75fd8-379b-42a9-8946-6f7bd082e7b1,"Potential Investor Visits Project Sites","<p>Zakhem Company has conducted a three-day tour of strategic geothermal projects in Mbeya and Songwe regions from 14 to 16 January 2025, with the aim of assessing investment opportunities in the rene","TGDC",2025-01-16T00:00:00,711a02c7-aafc-4a1c-9eb4-7df659715b1c,published,success
1ca90f45-075a-4a4b-abb5-7ec3d7c8b39f,7050,1ca90f45-075a-4a4b-abb5-7ec3d7c8b39f,"Tanzania's Geothermal Potential","<p>Tanzania’s geothermal potential is estimated at 5,000MW across more than 50 sites. TGDC is currently focusing on geothermal prospects in Ngozi, Songwe, Kiejo-Mbaka and Lake Natron. The aim is initi","ConstructAfrica",2023-06-28T00:00:00,711a02c7-aafc-4a1c-9eb4-7df659715b1c,published,success
b71935d2-f6be-460f-8719-6348d2208520,7048,b71935d2-f6be-460f-8719-6348d2208520,"Tanzania's 2030 Energy Compact Outlines Geothermal Goals","<p>According to Tanzania's recently published energy compact, which outlines the government's goals for electricity access up to 2030, 130 MW of geothermal capacity is planned to be developed by 2030.","Tanzanian government",2025-01-28T00:00:00,24ad71c3-297a-4077-b59e-301561169f4f,published,success
be77cc56-0c9a-4b7e-a5bc-d010c2a15bf4,7046,be77cc56-0c9a-4b7e-a5bc-d010c2a15bf4,"Potential Investor Visits Project Sites","<p>Zakhem Company has conducted a three-day tour of strategic geothermal projects in Mbeya and Songwe regions from 14 to 16 January 2025, with the aim of assessing investment opportunities in the rene","TGDC",2025-01-16T00:00:00,24ad71c3-297a-4077-b59e-301561169f4f,published,success
1f5ae59f-ee4e-4b64-9ced-5dc058af2e0a,7051,1f5ae59f-ee4e-4b64-9ced-5dc058af2e0a,"Tanzania's Geothermal Potential","<p>Tanzania’s geothermal potential is estimated at 5,000MW across more than 50 sites. TGDC is currently focusing on geothermal prospects in Ngozi, Songwe, Kiejo-Mbaka and Lake Natron. The aim is initi","ConstructAfrica",2023-06-28T00:00:00,24ad71c3-297a-4077-b59e-301561169f4f,published,success
3149e798-c0e2-4157-84ee-dd3b227e5067,7194,3149e798-c0e2-4157-84ee-dd3b227e5067,"Algiers–Tamanrasset Railway Project Progresses with New Groundbreaking Ceremonies","<p>The ambitious Algiers–Tamanrasset railway project is gaining momentum as Algeria moves forward with plans to connect the northern and southern regions of the country by rail. Minister of Public Wor","ConstructAfrica",2025-02-09T00:00:00,30c76579-1229-4093-b83a-2e588adf50db,published,success
1baa8900-39c4-4083-8a8a-19bdf778ae6d,7043,1baa8900-39c4-4083-8a8a-19bdf778ae6d,"Nobu Reveals Plans For First Egypt Restaurant In Cairo","<p>With the luxury market in Egypt expanding, it only makes sense that luxury dining, development and retail experiences would begin to grow in the Egyptian capital. Leading the charge is developer SO","Forbes",2025-04-08T00:00:00,c93e072d-952d-49ed-a3fb-cb112663db1b,published,success
566d999e-8884-492f-bd6c-30733b3f8092,7041,566d999e-8884-492f-bd6c-30733b3f8092,"2025 Construction Update","<p>As of early 2025, Skywalk Developments has marked five years of progress on the Skywalk project, with ongoing construction updates shared publicly</p><p>Watch video <a href=""https://www.instagram.c","Skywalk Developments",2025-01-26T00:00:00,f380dbf3-b0da-4efc-861a-60bfb9d6f3c7,published,success
5a452f10-257d-4141-a5bd-85d7a22dea8e,7042,5a452f10-257d-4141-a5bd-85d7a22dea8e,"Signia by Hilton Cairo Skywalk - Signia by Hilton Residences Cairo Skywalk","<p>Following the brand's recent launch in EMEA, Signia by Hilton Cairo Skywalk and Signia by Hilton Residences Cairo Skywalk mark the brand's debut in Egypt and the African continent, reinforcing Hilt","Hospitality Net",2025-03-26T00:00:00,f380dbf3-b0da-4efc-861a-60bfb9d6f3c7,published,success
13e8ae13-61e2-4250-918f-f300c7014a84,7044,13e8ae13-61e2-4250-918f-f300c7014a84,"Radisson Hotel Nairobi Airport scheduled to open mid-2027","<p>The Group's 4th hotel in Kenya and first Radisson property in the country, is the new build, 200 room Radisson Hotel Nairobi Airport, scheduled to open mid-2027. With proximity to JK International ","Hospitality Net",2023-06-13T00:00:00,d1db4447-9279-4276-a36d-073f0a0ab8f7,published,success
95109fa3-6e44-46a5-9f64-334faf19c1f3,7039,95109fa3-6e44-46a5-9f64-334faf19c1f3,"Work Begins on Solar Plant","<p>Work has been launched on the construction of the Gara Djebilet solar plant, according to the APS agency, citing the services of the wilaya of Tindouf.</p><p>&nbsp;</p><p>Read the story <a href=""ht","Algeria Today",2025-03-31T00:00:00,e1680566-821d-4a55-bd75-d61f2bc67e6c,published,success
